,Æ¯ÇãÁ¦¸ñ,Æ¯ÇãÄÚµå,Àû¿ë±¹°¡,Inventor,assignee,google patent link,Ãâ¿ø³¯Â¥,pdf link,ÀÎ¿ëÈ½¼ö
4653,"
  Selection of an in-track destination during a change of driving whee",DE102016120517A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102016120517A1/en,2017-05-18,https://patentimages.storage.googleapis.com/7e/ea/59/b5f3f453f43ae6/DE102016120517A1.pdf,5
4654,"
  Mobile charging for electric vehicle",DE112016006821T5,"WO, US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE112016006821T5/en,2019-02-28,https://patentimages.storage.googleapis.com/66/5f/f2/bbb093f1e0f749/DE112016006821T5.pdf,5
4655,"
  FEEDBACK-BASED GENERATION OF CONTROL MODELS FOR AN AUTONOMOUS VEHICL",DE102018103107A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102018103107A1/en,2018-08-16,https://patentimages.storage.googleapis.com/90/af/51/49352e91ad81cd/DE102018103107A1.pdf,5
4656,Cross-country autonomous driving,CN107346136A,"US, CN, DE, GB, MX, RU",,ÜØ÷åîïÏ¹Ðü?ÍëÞÉ,https://patents.google.com/patent/CN107346136A/en,2017-11-14,https://patentimages.storage.googleapis.com/55/c6/b6/38f266e1845f1a/CN107346136A.pdf,19
4657,Fault Handling in an autonomous vehicle,GB2524393A,"CN, DE, GB, MX, RU",,Ford Global Tech Llc,https://patents.google.com/patent/GB2524393A/en,2015-09-23,https://patentimages.storage.googleapis.com/7e/77/4d/ea24c36b78136b/GB2524393A.pdf,6
4658,Autonomous vehicle towing,GB2560111A,"US, CN, DE, GB, RU",,Ford Global Tech Llc,https://patents.google.com/patent/GB2560111A/en,2018-08-29,https://patentimages.storage.googleapis.com/01/cc/6e/2df4ee78c05100/GB2560111A.pdf,7
4659,Autonomous vehicle precipitation detection,CN104786964A,"US, CN, DE, GB, MX, RU",,ÜØ÷åîïÏ¹Ðü?ÍëÞÉ,https://patents.google.com/patent/CN104786964A/en,2015-07-22,https://patentimages.storage.googleapis.com/2f/39/20/16fa38dc7097c7/CN104786964A.pdf,6
4660,"
  AUTOMATED RECORDING AND UPDATING OF CARD ANOMALIE",DE102018116963A1,"US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102018116963A1/en,2019-01-17,https://patentimages.storage.googleapis.com/0d/ee/1a/c143c9cd19d84c/DE102018116963A1.pdf,6
4661,Aerial data for vehicle navigation,US20150106010A1,"US, CN, DE, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US20150106010A1/en,2015-04-16,https://patentimages.storage.googleapis.com/27/b0/e0/88aca13f14ac88/US20150106010A1.pdf,17
4662,Autonomous personal mobility syste,US20180101179A1,"US, CN",,Ford Global Technologies Llc,https://patents.google.com/patent/US20180101179A1/en,2018-04-12,https://patentimages.storage.googleapis.com/d8/34/7f/ffd25b35fd6ed7/US20180101179A1.pdf,17
4663,Learning automated vehicle,CN104932322A,"US, CN, DE, GB, MX, RU",,ÜØ÷åîïÏ¹Ðü?ÍëÞÉ,https://patents.google.com/patent/CN104932322A/en,2015-09-23,https://patentimages.storage.googleapis.com/80/1d/6f/9b4edcb962a3f3/CN104932322A.pdf,10
4664,Autonomous control in a dense vehicle environment,GB2524384A,"US, CN, DE, GB, MX, RU",,Ford Global Tech Llc,https://patents.google.com/patent/GB2524384A/en,2015-09-23,https://patentimages.storage.googleapis.com/ca/18/cb/b52edf90189e94/GB2524384A.pdf,5
4665,Form a team autonomous vehicle navigation sensor exchange,CN107767658A,"US, CN, DE, GB, MX, RU",,ÜØ÷åîïÏ¹Ðü?ÍëÞÉ,https://patents.google.com/patent/CN107767658A/en,2018-03-06,https://patentimages.storage.googleapis.com/aa/01/4e/8e8b4d9af8f2c9/CN107767658A.pdf,12
4666,Vehicle-to-infrastructure communication,US20150100189A1,"US, CN, DE, GB, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US20150100189A1/en,2015-04-09,https://patentimages.storage.googleapis.com/d5/35/db/fa8cc6344772ac/US20150100189A1.pdf,8
4667,Regeneration of particulate filters in autonomously controllable vehicles,US10487715B2,"US, CN",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10487715B2/en,2019-11-26,https://patentimages.storage.googleapis.com/0a/ae/2d/1784d0c325fce1/US10487715.pdf,17
4668,System and Method to Provide Valet Instructions for a Self-Driving Vehic,US20160116293A1,"US, CN, DE",,"Myine Electronics, Inc.",https://patents.google.com/patent/US20160116293A1/en,2016-04-28,https://patentimages.storage.googleapis.com/e7/b4/92/1572d289ed8923/US20160116293A1.pdf,17
4669,End-To-End Deep Generative Model For Simultaneous Localization And Mappi,US20200041276A1,"US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US20200041276A1/en,2020-02-06,https://patentimages.storage.googleapis.com/66/af/65/a9f3b2cdca63c0/US20200041276A1.pdf,17
4670,"
  FAIRING VEHICLE IN VEHICLE
",DE102014223275A1,"US, CN, DE, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102014223275A1/en,2015-05-28,https://patentimages.storage.googleapis.com/27/82/89/ef8a805a57de0f/DE102014223275A1.pdf,2
4671,"Systems, methods, and devices for automated vehicle and drone delive",US20190220819A1,"WO, US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US20190220819A1/en,2019-07-18,https://patentimages.storage.googleapis.com/2f/fb/e1/c2bae1ab0d944b/US20190220819A1.pdf,2
4672,Parking obstruction locator and height estimator,US9718404B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, LLCS",https://patents.google.com/patent/US9718404B2/en,2017-08-01,https://patentimages.storage.googleapis.com/f6/88/1a/d6dced3551c269/US9718404.pdf,26
4673,Method and device for evaluating driving behavior,US10902742B2,"US, CN, DE",,Ford Motor Company,https://patents.google.com/patent/US10902742B2/en,2021-01-26,https://patentimages.storage.googleapis.com/99/47/d5/034131604b3b28/US10902742.pdf,8
4674,"
  Abolition of the autonomy behavior when using a rescue lane
",DE102017113129A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102017113129A1/en,2017-12-21,https://patentimages.storage.googleapis.com/57/c9/db/777e249412b728/DE102017113129A1.pdf,19
4675,Stowable vehicle sensor,US10589724B2,"US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10589724B2/en,2020-03-17,https://patentimages.storage.googleapis.com/5e/3d/e1/ddc9cf97531e18/US10589724.pdf,20
4676,Messaging via vehicle steering wheel,GB2525301A,"US, CN, DE, GB, MX, RU",,Ford Global Tech Llc,https://patents.google.com/patent/GB2525301A/en,2015-10-21,https://patentimages.storage.googleapis.com/e1/84/f6/b3964d57f49659/GB2525301A.pdf,20
4677,Vehicle operator monitoring and operations adjustments,GB2525079A,"US, CN, DE, GB, MX, RU",,Ford Global Tech Llc,https://patents.google.com/patent/GB2525079A/en,2015-10-14,https://patentimages.storage.googleapis.com/d3/c3/21/e24f09d712b5dc/GB2525079A.pdf,15
4678,Driver during autonomous switching is competent at ability,CN107472252A,"US, CN, DE, GB, MX, RU",,ÜØ÷åîïÏ¹Ðü?ÍëÞÉ,https://patents.google.com/patent/CN107472252A/en,2017-12-15,https://patentimages.storage.googleapis.com/7e/df/9a/dd602d27fbc18a/CN107472252A.pdf,22
4679,Depth map estimation is carried out with stereo-pictu,CN107798699A,"US, CN, DE, GB, MX, RU",,ÜØ÷åîïÏ¹Ðü?ÍëÞÉ,https://patents.google.com/patent/CN107798699A/en,2018-03-13,https://patentimages.storage.googleapis.com/ff/98/e7/02178d07c51288/CN107798699A.pdf,22
4680,Emergency vehicle in detection and response ro,CN108068819A,"US, CN, DE, GB, MX, RU",,ÜØ÷åîïÏ¹Ðü?ÍëÞÉ,https://patents.google.com/patent/CN108068819A/en,2018-05-25,https://patentimages.storage.googleapis.com/80/e6/7e/eda0358a9c91c2/CN108068819A.pdf,22
4681,Autonomous vehicle passenger's locator,CN107134129A,"US, CN, DE, GB, MX, RU",,ÜØ÷åîïÏ¹Ðü?ÍëÞÉ,https://patents.google.com/patent/CN107134129A/en,2017-09-05,https://patentimages.storage.googleapis.com/2a/a4/2d/c5355591fb2aa3/CN107134129A.pdf,22
4682,Inductive loop detection systems and methods,US9696721B1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US9696721B1/en,2017-07-04,https://patentimages.storage.googleapis.com/27/86/25/da476001728494/US9696721.pdf,18
4683,Passenger validation systems and methods,GB2556399A,"US, CN, DE, GB, MX, RU",,Ford Global Tech Llc,https://patents.google.com/patent/GB2556399A/en,2018-05-30,https://patentimages.storage.googleapis.com/15/9a/75/a7baa66d383b22/GB2556399A.pdf,7
4684,Passenger monitoring systems and methods,GB2555530A,"US, CN, DE, GB, MX, RU",,Ford Global Tech Llc,https://patents.google.com/patent/GB2555530A/en,2018-05-02,https://patentimages.storage.googleapis.com/6d/1f/37/5df41cbe310c39/GB2555530A.pdf,5
4685,"
  SYSTEM AND METHOD FOR REVERSE PARKING A VEHICLE VERTICALLY TO THE RAILWA",DE102017100259A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102017100259A1/en,2017-07-13,https://patentimages.storage.googleapis.com/51/26/61/9099cec84ce495/DE102017100259A1.pdf,5
4686,Roadway-crossing-anomaly detection system and method,US10207560B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10207560B2/en,2019-02-19,https://patentimages.storage.googleapis.com/a6/dd/91/1dbfc29faa6be6/US10207560.pdf,13
4687,Passenger tracking systems and methods,GB2556165A,"US, CN, DE, GB, MX, RU",,Ford Global Tech Llc,https://patents.google.com/patent/GB2556165A/en,2018-05-23,https://patentimages.storage.googleapis.com/e5/ee/f2/bbebd1d64b22a2/GB2556165A.pdf,8
4688,Device is concluded in autonomous driving certification,CN106483952A,"US, CN, DE, GB, MX, RU",,ÜØ÷åîïÏ¹Ðü?ÍëÞÉ,https://patents.google.com/patent/CN106483952A/en,2017-03-08,https://patentimages.storage.googleapis.com/2e/b3/f2/fee22ff49434d4/CN106483952A.pdf,20
4689,Door position sensor and system for a vehicle,CN106404011A,"US, CN, DE, MX",,ÜØ÷åîïÏ¹Ðü?ÍëÞÉ,https://patents.google.com/patent/CN106404011A/en,2017-02-15,https://patentimages.storage.googleapis.com/43/05/1e/c5a2e25b46ed5d/CN106404011A.pdf,10
4690,Vehicle cleanliness detection systems and methods,US10112585B1,"US, CN, DE, GB",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10112585B1/en,2018-10-30,https://patentimages.storage.googleapis.com/96/b5/c0/2e429a4dbec22a/US10112585.pdf,13
4691,Removable steering wheel and pedals for autonomous vehicle,GB2548005A,"US, CN, DE, GB, MX, RU",,Ford Global Tech Llc,https://patents.google.com/patent/GB2548005A/en,2017-09-06,https://patentimages.storage.googleapis.com/44/8b/06/c4fb15238b30e9/GB2548005A.pdf,8
4692,Authentication Of Vehicle-To-Vehicle Communicatio,US20210075780A1,"US, CN",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US20210075780A1/en,2021-03-11,https://patentimages.storage.googleapis.com/9b/d8/af/c6325a82e59194/US20210075780A1.pdf,8
4693,Recurrent deep convolutional neural network for object detection,GB2560620A,"US, CN, DE, GB, MX, RU",,Ford Global Tech Llc,https://patents.google.com/patent/GB2560620A/en,2018-09-19,https://patentimages.storage.googleapis.com/b4/de/0e/465086027b8c28/GB2560620A.pdf,4
4694,Temperature control for electric vehicle car door,CN107130875A,"US, CN, DE, MX",,ÜØ÷åîïÏ¹Ðü?ÍëÞÉ,https://patents.google.com/patent/CN107130875A/en,2017-09-05,https://patentimages.storage.googleapis.com/7c/87/be/3a60cdc4ca190b/CN107130875A.pdf,6
4695,Lane detection systems and methods,US10336326B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10336326B2/en,2019-07-02,https://patentimages.storage.googleapis.com/61/ed/35/f42294d41d280c/US10336326.pdf,21
4696,System and method for activating autonomous parking automatically,CN106985814A,"US, CN, DE, GB, MX, RU",,ÜØ÷åîïÏ¹Ðü?ÍëÞÉ,https://patents.google.com/patent/CN106985814A/en,2017-07-28,https://patentimages.storage.googleapis.com/67/cb/df/58ae65e40b60f6/CN106985814A.pdf,6
4697,"
  VEHICLE EXTERIOR SURVEILLANC",DE102017117195A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102017117195A1/en,2018-02-01,https://patentimages.storage.googleapis.com/a4/ee/77/51a1813dcdf5cb/DE102017117195A1.pdf,6
4698,Method and mechanism for assisted performance of a reverse-turning maneuver of a vehic,US20190161086A1,"US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US20190161086A1/en,2019-05-30,https://patentimages.storage.googleapis.com/7b/06/54/9f4a25a11b18f4/US20190161086A1.pdf,6
4699,Systems and methods for driving risk index estimation,US9791864B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US9791864B2/en,2017-10-17,https://patentimages.storage.googleapis.com/88/70/ff/73a59e08ce910d/US9791864.pdf,17
4700,Vehicle acceleration determination,GB2547076A,"US, CN, DE, GB, MX, RU",,Ford Global Tech Llc,https://patents.google.com/patent/GB2547076A/en,2017-08-09,https://patentimages.storage.googleapis.com/0a/f0/b5/2617351a082d45/GB2547076A.pdf,6
4701,"
  Vehicle sensor mountin",DE102018115502A1,"US, CN, DE, GB",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102018115502A1/en,2019-01-03,https://patentimages.storage.googleapis.com/7f/83/62/d6ba980d55a3bc/DE102018115502A1.pdf,6
4702,Controller for autonomous vehicle and method of controlling strip by autonomous vehicle,RU2705885C1,"WO, US, CN, DE, GB, MX, RU",,"¬¶¬°¬²¬¥ ¬¤¬­¬°¬µ¬¢¬¡¬­ ¬´¬¦¬¬¬¯¬°¬­¬°¬¥¬¨¬ª¬©, ¬¿¬Ý¬¿¬Ý¬³¬Ú",https://patents.google.com/patent/RU2705885C1/en,2019-11-12,https://patentimages.storage.googleapis.com/6d/b2/19/f9d64eb94021cf/RU2705885C1.pdf,8
4703,"
  Vehicle door assistant system based on location and condition",DE202016103719U1,"US, CN, DE, MX",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE202016103719U1/en,2016-08-31,https://patentimages.storage.googleapis.com/76/40/9a/1cb2c8916fd3a8/DE202016103719U1.pdf,8
4704,The physical modeling of radar and son,CN107784151A,"US, CN, DE, GB, MX, RU",,ÜØ÷åîïÏ¹Ðü?ÍëÞÉ,https://patents.google.com/patent/CN107784151A/en,2018-03-09,https://patentimages.storage.googleapis.com/d7/34/30/d4b06a49e59325/CN107784151A.pdf,8
4705,Vehicle localization using cameras,US10430968B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10430968B2/en,2019-10-01,https://patentimages.storage.googleapis.com/37/cb/af/6c5564d3c5a083/US10430968.pdf,17
4706,The physics detected close to vehicle threatens,CN107539213A,"US, CN, DE, MX, RU",,ÜØ÷åîïÏ¹Ðü?ÍëÞÉ,https://patents.google.com/patent/CN107539213A/en,2018-01-05,https://patentimages.storage.googleapis.com/92/09/15/9478ce2fb17516/CN107539213A.pdf,11
4707,Park out assist,CN106515735A,"US, CN, DE, GB, MX, RU",,ÜØ÷åîïÏ¹Ðü?ÍëÞÉ,https://patents.google.com/patent/CN106515735A/en,2017-03-22,https://patentimages.storage.googleapis.com/d1/38/fe/788d0c8546d9cf/CN106515735A.pdf,6
4708,"
  AUTONOMOUS CIRCUIT CONTROL SYSTEM
",DE102013200462A1,"US, CN, DE, GB",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102013200462A1/en,2013-07-18,https://patentimages.storage.googleapis.com/fb/5c/fa/2a4af4de378fdc/DE102013200462A1.pdf,6
4709,Navigation assisted collision avoidance at intersections,US10504367B2,"US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10504367B2/en,2019-12-10,https://patentimages.storage.googleapis.com/68/85/ab/a88f46b529985c/US10504367.pdf,24
4710,Vehicle mode determination,US9796388B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US9796388B2/en,2017-10-24,https://patentimages.storage.googleapis.com/69/02/19/c0351e6ed1c38e/US9796388.pdf,41
4711,Wake alarm for vehicles with an autonomous mode,GB2556669A,"US, CN, DE, GB, MX, RU",,Ford Global Tech Llc,https://patents.google.com/patent/GB2556669A/en,2018-06-06,https://patentimages.storage.googleapis.com/8b/86/b9/27bbd7e0391f4a/GB2556669A.pdf,11
4712,Method and system for stowing steering column in an autonomous vehicle,US20160121918A1,US,,"Ford Global Technologies, Llc",https://patents.google.com/patent/US20160121918A1/en,2016-05-05,https://patentimages.storage.googleapis.com/45/27/6e/f74ed14872372f/US20160121918A1.pdf,9
4713,Method and device for operating a motor vehicle,US20170205823A1,"EP, US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US20170205823A1/en,2017-07-20,https://patentimages.storage.googleapis.com/1e/c2/73/0119f48407d86b/US20170205823A1.pdf,17
4714,"
  Intersection assistance systems and methods using dedicated short-range communication
",DE102017107787A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102017107787A1/en,2017-10-19,https://patentimages.storage.googleapis.com/3d/bf/2e/e7ad92f678a6a9/DE102017107787A1.pdf,20
4715,Sensor-data generation in virtual driving environment,US10229231B2,"US, CN, GB, MX",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US10229231B2/en,2019-03-12,https://patentimages.storage.googleapis.com/ff/8f/1f/91a167fb302abf/US10229231.pdf,19
4716,"
  SAFE TUNNELING FOR SAFETY OF ASSOCIATED APPLICATION",DE102017102539A1,"US, CN, DE",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102017102539A1/en,2017-09-07,https://patentimages.storage.googleapis.com/d5/42/19/efb2035e2f6f18/DE102017102539A1.pdf,19
4717,"
  TRAFFIC SIGN RECOGNITIO",DE102017125493A1,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/DE102017125493A1/en,2018-05-03,https://patentimages.storage.googleapis.com/1a/91/48/c3eeead398d51f/DE102017125493A1.pdf,19
4718,Adaptive suppression of vehicle restraint system,US9266487B2,"US, CN, DE, GB, MX, RU",,"Ford Global Technologies, Llc",https://patents.google.com/patent/US9266487B2/en,2016-02-23,https://patentimages.storage.googleapis.com/cf/7a/72/6437480e6db457/US9266487.pdf,20
